148.72.168.81,30127,United States,no
44.195.247.145,80,United States,yes
44.219.175.186,80,United States,yes
184.169.154.119,80,United States,yes
3.212.148.199,80,United States,yes
54.152.3.36,80,United States,yes
44.218.183.55,80,United States,yes
13.56.192.187,80,United States,yes
204.236.137.68,80,United States,yes
52.73.224.54,3128,United States,yes
54.67.125.45,3128,United States,yes
64.147.212.78,8080,United States,yes
3.90.100.12,3128,United States,yes
204.236.176.61,3128,United States,yes
4.7.147.233,8082,United States,yes
50.169.222.243,80,United States,no
50.237.207.186,80,United States,no
50.144.208.231,80,United States,no
50.168.72.115,80,United States,no
50.168.72.116,80,United States,no
50.54.244.10,80,United States,no
47.88.59.79,82,United States,no
50.169.222.241,80,United States,no
198.49.68.80,80,United States,no
50.217.226.41,80,United States,no
172.191.74.198,8080,United States,no
50.207.199.86,80,United States,no
50.217.226.44,80,United States,no
50.172.75.122,80,United States,no
50.172.75.120,80,United States,no
68.185.57.66,80,United States,no
50.172.75.114,80,United States,no
50.231.104.58,80,United States,no